domain,history_url
www.vvvorden.nl,https://web.archive.org/web/20150511043003/http://www.vvvorden.nl/
www.inandfi-credits.fr,https://web.archive.org/web/20151220055600/http://www.inandfi-credits.fr:80/?
www.konopizza.it,https://web.archive.org/web/20151218215206/http://www.konopizza.it:80/
www.partytime.fr,https://web.archive.org/web/20151203072444/http://www.partytime.fr/
www.freundin.de,https://web.archive.org/web/20151221113550/http://www.freundin.de:80/
www.otterbox.ie,https://web.archive.org/web/20151128120106/http://www.otterbox.ie/
www.taidelukio.fi,https://web.archive.org/web/20150814144847/http://www.taidelukio.fi/
www.borsaedintorni.it,https://web.archive.org/web/20151206093749/http://www.borsaedintorni.it/
www.zouzous.fr,https://web.archive.org/web/20151215023711/http://www.zouzous.fr/
www.hymercenter.fi,https://web.archive.org/web/20150927162419/http://hymercenter.fi/
www.ligabiblijna.pl,https://web.archive.org/web/20151204210332/http://www.ligabiblijna.pl:80/
www.bloggjakt.se,https://web.archive.org/web/20151221024555/http://www.bloggjakt.se:80/
www.mat.se,https://web.archive.org/web/20150802022512/http://www.mat.se/
www.kullagardenswardshus.se,https://web.archive.org/web/20151011070610/http://kullagardenswardshus.se/
www.literatpro.de,https://web.archive.org/web/20151222203455/http://www.literatpro.de/
www.moorings.ie,https://web.archive.org/web/20151012202043/http://www.moorings.ie/
www.tarjetashellclubsmart.es,https://web.archive.org/web/20151225151938/http://www.tarjetashellclubsmart.es/
www.shoppingplus.it,https://web.archive.org/web/20151215060353/http://www.shoppingplus.it:80/?
www.shop-dent.pl,https://web.archive.org/web/20151220091557/http://www.shop-dent.pl:80/
www.saint-brevin.fr,https://web.archive.org/web/20151127174307/http://www.saint-brevin.fr:80/
www.fabreguesmotos.es,https://web.archive.org/web/20151220170842/http://www.fabreguesmotos.es:80/
www.gastrosilesia.pl,https://web.archive.org/web/20151127152020/http://www.gastrosilesia.pl:80/
www.titityy.fi,https://web.archive.org/web/20151218180201/http://www.titityy.fi/
www.wspassau.de,https://web.archive.org/web/20151217080447/http://www.wspassau.de:80/
www.wnf.nl,https://web.archive.org/web/20151221013840/http://www.wnf.nl
www.densocialekapitalfond.dk,https://web.archive.org/web/20151119074201/http://www.densocialekapitalfond.dk:80/
www.mugweb.nl,https://web.archive.org/web/20150801205007/http://mugweb.nl/
www.arcor.de,https://web.archive.org/web/20151220210324/http://www.arcor.de:80/
www.engelskatapetmagasinet.se,https://web.archive.org/web/20151223061027/http://www.engelskatapetmagasinet.se:80/
www.057info.hr,https://web.archive.org/web/20151121140040/http://www.057info.hr:80/
www.heimspiel-online.de,https://web.archive.org/web/20151210182337/http://www.heimspiel-online.de:80/
www.ricoh.ie,https://web.archive.org/web/20151215082227/http://www.ricoh.ie:80/
www.alagna.it,https://web.archive.org/web/20151028205933/http://www.alagna.it:80/?
www.fphomc.es,https://web.archive.org/web/20151201101020/http://www.fphomc.es/
www.mosquitoweb.it,https://web.archive.org/web/20151212041729/http://www.mosquitoweb.it:80/
www.advancedskincare.se,https://web.archive.org/web/20151221171029/http://www.advancedskincare.se:80/
www.litera.ro,https://web.archive.org/web/20151230000906/http://www.litera.ro:80/
www.kslegionovia.pl,https://web.archive.org/web/20150811062405/http://www.kslegionovia.pl:80/
www.futebol365.pt,https://web.archive.org/web/20151115225723/http://www.futebol365.pt:80/
www.fiorentinisicresce.it,https://web.archive.org/web/20151128113154/http://www.fiorentinisicresce.it:80/
www.fly4free.pl,https://web.archive.org/web/20151221150653/http://www.fly4free.pl:80/
www.admiralmarkets.ro,https://web.archive.org/web/20151221221844/http://www.admiralmarkets.ro:80/
www.retroboutique.ro,https://web.archive.org/web/20151221145936/http://www.retroboutique.ro:80/?
www.kroschke.de,https://web.archive.org/web/20151024031337/https://www.kroschke.de/
www.ligne4.fr,https://web.archive.org/web/20150922005134/http://www.ligne4.fr/
www.lagboken.se,https://web.archive.org/web/20151217045417/http://lagboken.se/
www.howard-carpendale.de,https://web.archive.org/web/20151217124911/http://www.howard-carpendale.de:80/
www.salesupply.de,https://web.archive.org/web/20151213004649/http://www.salesupply.de:80/
