domain,history_url
www.inspectiamuncii.ro,https://web.archive.org/web/20161206013844/http://www.inspectiamuncii.ro:80/
www.meinpraktikum.de,https://web.archive.org/web/20161119052514/http://www.meinpraktikum.de:80/
www.idaplus.fr,https://web.archive.org/web/20161026232820/http://www.idaplus.fr/
www.christagoede.de,https://web.archive.org/web/20161223094929/http://www.christagoede.de/
www.gartenmode.de,https://web.archive.org/web/20161213170819/http://www.gartenmode.de:80/
www.solease.nl,https://web.archive.org/web/20161223210203/http://www.solease.nl/
www.totalexperience.ie,https://web.archive.org/web/20161215142352/http://www.totalexperience.ie/
www.megyeriszabolcskerteszete.hu,https://web.archive.org/web/20161202125131/http://www.megyeriszabolcskerteszete.hu/
www.energyvalley.nl,https://web.archive.org/web/20161221082101/http://www.energyvalley.nl/
www.dezijlen.nl,https://web.archive.org/web/20161129055239/http://www.dezijlen.nl:80/
www.martin-hirte.de,https://web.archive.org/web/20161110001358/http://www.martin-hirte.de/
www.dwars.be,https://web.archive.org/web/20161221155202/http://www.dwars.be/
www.belgianboatshow.be,https://web.archive.org/web/20161119165217/http://www.belgianboatshow.be:80/
www.kay-steeger.de,https://web.archive.org/web/20161124020332/http://www.kay-steeger.de/
www.dolores.es,https://web.archive.org/web/20161230090121/http://www.dolores.es/
www.cronacaflegrea.it,https://web.archive.org/web/20161119122417/http://www.cronacaflegrea.it:80/
www.villaoliva.it,https://web.archive.org/web/20161101143135/http://www.villaoliva.it:80/
www.urbancycle.fr,https://web.archive.org/web/20161113131342/http://www.urbancycle.fr:80/
www.artgeist.de,https://web.archive.org/web/20161207093531/http://www.artgeist.de:80/
www.ordinepsicologitoscana.it,https://web.archive.org/web/20161127211209/http://www.ordinepsicologitoscana.it:80/
www.cerp.hr,https://web.archive.org/web/20161027073806/http://www.cerp.hr/
www.giornaledellalibreria.it,https://web.archive.org/web/20161126015434/http://www.giornaledellalibreria.it:80/
www.planex-gmbh.de,https://web.archive.org/web/20161028172109/http://www.planex-gmbh.de/
www.huisvolkleur.nl,https://web.archive.org/web/20161011191613/http://www.huisvolkleur.nl/
www.cerus.fr,https://web.archive.org/web/20161209084109/http://www.cerus.fr:80/
www.editamedia.nl,https://web.archive.org/web/20161020053609/https://www.editamedia.nl/
www.hgm-press.de,https://web.archive.org/web/20161028172441/http://www.hgm-press.de/
www.turany.cz,https://web.archive.org/web/20161021172303/http://www.turany.cz:80/
www.majobaventure.fr,https://web.archive.org/web/20161118112619/http://www.majobaventure.fr:80/
www.flashscore.ro,https://web.archive.org/web/20161130060723/http://flashscore.ro:80/
www.wskarting.it,https://web.archive.org/web/20161222042126/http://www.wskarting.it:80/
www.turisturaj.cz,https://web.archive.org/web/20161124155609/http://www.turisturaj.cz:80/
www.ayto-nuevobaztan.es,https://web.archive.org/web/20161219202921/http://www.ayto-nuevobaztan.es:80/
www.hssonsskafferi.se,https://web.archive.org/web/20161027234534/http://www.hssonsskafferi.se:80/
www.tvguru.cz,https://web.archive.org/web/20161223124914/http://tvguru.cz:80/
www.bestwestern.fi,https://web.archive.org/web/20161205014050/http://www.bestwestern.fi:80/?
www.golflaedchen.de,https://web.archive.org/web/20161202224539/http://www.golflaedchen.de/
www.10righedailibri.it,https://web.archive.org/web/20161229031049/http://www.10righedailibri.it:80/
www.se.dk,https://web.archive.org/web/20161224004842/http://www.se.dk:80/
www.aryz.es,https://web.archive.org/web/20161219214830/http://www.aryz.es:80/
www.mdue.it,https://web.archive.org/web/20161221030214/http://www.mdue.it:80/
www.citim.de,https://web.archive.org/web/20161129003516/http://www.citim.de/
www.spex.de,https://web.archive.org/web/20161222225446/http://spex.de/
www.beleefdelente.nl,https://web.archive.org/web/20161023205718/http://www.beleefdelente.nl/
www.eglisedumusee.be,https://web.archive.org/web/20161111050828/http://www.eglisedumusee.be:80/
www.liberolibro.it,https://web.archive.org/web/20160312211940/http://liberolibro.it/
www.freeride-experience.at,https://web.archive.org/web/20161030011814/http://www.freeride-experience.at:80/
www.desiredupas.be,https://web.archive.org/web/20161029195559/http://www.desiredupas.be/
www.corsonetwerk.nl,https://web.archive.org/web/20161115103909/http://www.corsonetwerk.nl:80/
www.webinarpro.it,https://web.archive.org/web/20161031170724/http://www.webinarpro.it/
www.rechtsanwalts-kanzlei-wolfratshausen.de,https://web.archive.org/web/20161215032821/http://www.rechtsanwalts-kanzlei-wolfratshausen.de:80/
www.fchb.es,https://web.archive.org/web/20161010175959/http://www.fchb.es/
www.fidula.de,https://web.archive.org/web/20161124134331/http://www.fidula.de:80/
www.schwarzwaldimpressionen.de,https://web.archive.org/web/20161112214030/http://www.schwarzwaldimpressionen.de:80/
www.skcb.cz,https://web.archive.org/web/20161231110322/http://www.skcb.cz/
www.olbia.it,https://web.archive.org/web/20161120004910/http://www.olbia.it:80/
www.anuac.it,https://web.archive.org/web/20161031141948/http://www.anuac.it:80/?
www.eurovaistine.lt,https://web.archive.org/web/20161220052122/http://www.eurovaistine.lt/
www.biojack.fi,https://web.archive.org/web/20161014081314/http://www.biojack.fi/
www.scannet.dk,https://web.archive.org/web/20161119164948/http://www.scannet.dk:80/
www.istlokal.de,https://web.archive.org/web/20161202013521/http://www.istlokal.de/
www.innocent.fr,https://web.archive.org/web/20161119182617/http://www.innocent.fr:80/
www.thetwelvehotel.ie,https://web.archive.org/web/20161209235622/http://www.thetwelvehotel.ie:80/
www.quechoisirmarseille.fr,https://web.archive.org/web/20161031070422/http://www.quechoisirmarseille.fr/
www.principia.pt,https://web.archive.org/web/20161219101653/http://www.principia.pt/
www.appelkusten.se,https://web.archive.org/web/20161024004258/http://www.appelkusten.se/
www.totheater.nl,https://web.archive.org/web/20161103043019/http://www.totheater.nl/
www.werkzeugforum.de,https://web.archive.org/web/20161229224350/http://www.werkzeugforum.de:80/
www.mmm-messe.de,https://web.archive.org/web/20161228110843/https://www.mmm-messe.de/
www.bit.pt,https://web.archive.org/web/20161206022029/http://www.bit.pt/
